trial_id,target_epoch,injected_dvv
N664e958ef2d67fef,31,0.0005
N00025483ef53a8b2,31,-0.0001
N5c58d91c4709cae8,1,0.002
N083b81b46a141d93,11,-0.001
N4e6a7ddc36742cb1,38,0.0002
N24fc55fb10f8a3ad,3,-0.005
N6489d5e96e9d0f74,3,-0.0005
N2734716cf8a93a35,17,0.0005
N0d39ab8fa3dc6a1a,31,-0.01
N006646ae9cc3bab6,18,0.002
N138909ed24716e28,42,-0.001
N6b6151a9281e9dcd,3,0.005
N197f254cf1813ece,33,0
N63bdf49f3417c384,34,-0.005
N0636dd16ba4e677f,9,0.01
N6da9bf8deac1c297,42,-0.0001
N4010f8a6822e6208,6,-0.005
N4199e154e0a33cbc,25,0.002
N6643e268524d27c2,6,0.002
N1efbcd76ba999800,43,0.002
N3f986b2dd7688e47,21,0.0005
N5383e9f18ba1d181,44,0.01
N59219f4191b781e7,12,-0.001
N57c3728c9ffd9dba,41,0
N268394c9e067c2e8,27,0.0005
N2765e5446bd429c7,14,-0.0001
N128271e5648128dd,22,-0.002
N0b299d137cdeb423,43,0
N2424ab483ffa4958,41,0.002
N46c5ff0f0af982f8,30,0.0002
N5cbbda6fc118c67c,20,-0.0002
N25f2091370f51602,34,0
N1e7c73510ecf5d3f,35,-0.005
N3bb072501033e173,28,0.01
N2e3ce437e90db60e,37,0.001
N30a118d9cf79f146,40,-0.01
N14e48fa3aa06815a,30,0.0005
N6c95ce8a78f9a91f,29,-0.001
N6a79b111b4e120b8,16,0.01
N49d28cdea797d9a2,20,0.0005
N41ccdc0f2bfcee02,37,0.0002
N690fc6fa19de89c4,4,0.01
N7dec3fd56b72e329,14,0.001
N6cf122557ddea9c5,11,0.005
N08d47afd0dbfb1b1,19,0
N1c3b35e9d2163682,27,-0.001
N7a3e66e1ebaf29ad,9,0.005
N7e5ad8297981a9af,16,-0.0005
N12fcabcea00e1383,34,0.001
N3be7e0e33f0c66bb,34,0.005
N2fbf3e493d966a82,31,0.01
N754e2e5966a09135,2,-0.01
N67ace70013179e02,25,-0.001
N2d17c1f821e2a0db,38,0.002
N3eefc3cd84b365d0,41,-0.0002
N0fdf656df92493a9,44,0.0002
N4ef3bdaff924c37a,1,-0.001
N73a05a728a1fa070,13,0.001
N09db7e65363da49f,6,-0.0001
N568c501f1b6695a1,23,-0.0001
N296e3eb73a3e4ea0,19,-0.0002
N2a67b9cae5ea0282,5,-0.0002
N21dd46500bf95999,18,-0.01
N0745b048d7e2b98f,30,0.01
N1a7764709ece8260,15,0.01
N1c9a1675c8c89d57,38,0.01
N0f9f397d79261b30,12,-0.0001
N0601c8fecb5e0a56,41,0.001
N05c1a81cdcb9923b,12,0.005
N73122340b0724ff1,36,-0.0002
N5fc1ac6656a4f4a7,9,0.002
N472a412866abd8a4,38,0.0001
N1545723b0eef2f9a,24,0
N6f71e9032fc25a9d,5,-0.005
N48b4d01e82e67b7f,16,-0.01
N48676d1929edf1da,12,-0.005
N2d0864773f7e62fe,43,-0.005
N77b5b036fe4d86f0,13,-0.002
N1c6d993294639ed1,0,0.0002
N201a63071c82bfa9,41,0.01
N0e7be7bc3cfbba70,7,-0.01
N6f0319b626f9b428,31,-0.005
N06a7d8608fcdbd93,12,-0.01
N31ea0d4d4bf9438a,6,0.01
N3dfe4ed0fc3afc83,45,0.0002
N536bab6a2a1fbadc,22,0.01
N747cd735b953b027,4,0.0002
N64420331b7770ac4,28,0
N2731d91b21d353fb,33,0.0002
N2290c6014f684f2a,43,0.0005
N60905ab303c252b5,2,-0.0005
N07d591ee569830fc,15,0.0002
N4fb5fc2ca5af4c60,21,0.0001
N7d5e793914fcb999,7,-0.001
N5baf6c4d92d16077,1,0
N30c099f4b721cba2,18,-0.001
N2c9ac32f193d182b,24,-0.0005
N4a53aa3b7592c9e1,36,0.0005
N4f90d9bf1ec49872,33,0.002
N7c4289fc49d3934d,30,-0.002
N594ca639c4fc9cd5,37,0.005
N22088e51a9b5e385,19,0.0001
N5777a185e51e09b1,44,-0.0005
N2078bd5407aa3948,19,0.001
N15097c16014e69c5,9,0.0002
N033a9a20be8319d5,3,0.0005
N5344aef7551747f6,17,-0.0005
N566b019e94809abf,16,0.001
N39e95445087640ab,33,-0.001
N78d67a9b95e12536,7,-0.0002
N179a14f3d4421fef,37,-0.005
N14f107e92916cd62,36,0.001
N6dfd5c7dd57cd56a,0,-0.0002
N76eea424ec20a129,21,-0.0001
N38feaa784749b192,28,-0.005
N33c8ae07c5efb3b5,9,-0.0002
N11e0473eca334618,32,0.002
N157f92a40f86ee2a,29,0.01
N78cf564f1952a03d,28,-0.0001
N3aff606b15b80e96,32,0.01
N4acfd15ce538f64f,2,-0.002
N3e8bc7bfbbab7c2c,43,0.0001
N6e336acab6958ec4,36,-0.01
N2c43984eb53c262e,41,0.005
N3111ecddd0a15fc1,32,0.005
N7f0795a64efdd0ca,13,0.0005
N17d657b737c5c96b,31,0.005
N43002ece4a97777b,35,-0.0002
N21ba421f9d9b6da1,38,0.001
N30ff7e0848856cd0,19,0.01
N32b3fdda1e4259cf,40,0.002
N46b084bce27ad481,8,0.002
N1e073e6fee971300,38,-0.0001
N5a30cd47fd8d439b,26,0.0001
N2243b4f22c8b0950,3,-0.0002
N0a57d3cfd6e29f4e,25,-0.0002
N16ea570270b8403e,43,-0.0002
N69a2ea45e5f8be8d,6,-0.0002
N4216713e9e536680,22,0.005
N5416e1bb34bc3172,45,-0.0002
N7e4ecb7880733767,33,-0.005
N6e40c9463a483aa3,4,0.002
N16b1eb3f7423a7cf,14,0.0001
N714634639c1cf0d0,43,0.005
N1114477c82c862df,43,-0.01
N1438f500ee71a3db,0,-0.005
N68ef2b06ffa88b6f,22,-0.01
N24eda68515ecc71c,28,-0.0002
N07e5e529e508a68a,17,-0.005
N394e9dcd2da081d3,43,-0.001
N7d71b377ddd96e3b,16,-0.005
N338fd388b9112d50,19,0.0002
N69567ff92b19959a,28,0.0001
N51a246459566543d,45,0.001
N398ed081dec02e34,25,0.001
N679090b2b54ae367,45,0
N6b2c691f43b2f685,27,-0.0001
N5e1fad119987c392,1,0.001
N234d6d21a8454d32,8,0.001
N4a50eb9dc146f6e0,29,0.001
N5597339a08cc60db,22,-0.0001
N782aee6ec1809663,10,0.001
N23ad27e8271ee242,31,0.002
N57727139eb0797d5,17,0.005
N3a001005245f6938,5,-0.0005
N4fe3c0c13fdf6928,30,0
N482a8e0f9bfafc1a,35,0.002
N051cbbf8e186a60b,18,0.0001
N5641ecb57706edda,8,0.0001
N6de318efc72fb293,28,-0.002
N51b995ac0a7ee1ec,5,0.001
N2e83a3d9e0398ff7,4,0
N59444911042f6a0b,26,0.01
N7f08972120f275b3,28,0.0002
N35b5d10909651b9f,40,-0.001
N21f7ea116384bd4a,18,-0.0002
N7fe72da6ebfee124,1,0.0001
N6f02d1c054ee50ee,7,0
N5523678acc3fabb0,24,0.005
N59cd956fa1b1c154,2,0.01
N67db99997aca5842,21,0
N0e661b3e6c3233e9,17,-0.0001
N095828532ae5e65c,31,-0.0005
N43e4588923430582,19,-0.002
N4bd73631d9414d43,4,-0.01
N70368d343d209e9c,23,-0.001
N77b683bb51afdec8,12,-0.0005
N49a40669244070a1,27,0
N4d1cc884ac9e4ab9,45,0.002
N7c67035baecc2a90,44,0.0001
N438f283f29744825,24,-0.001
N5c64fcf02fd1fc43,24,-0.002
N713cbe50eb335816,36,0.002
N068acc363378d42b,3,-0.002
N620588f2a639cec1,13,-0.0002
N261f22554b0d06d9,7,0.0001
N312cf4c9a6b3e84b,19,-0.0001
N3855e286ec6a6ca1,5,0.002
N35e4c6ac4bbb2464,2,-0.005
N636884bff76a76c0,20,-0.002
N4d93acc6fc76fdbf,6,-0.01
N68ba79407554af59,29,-0.002
N55b025c90e2733bf,27,-0.0002
N06bd8194830ca197,45,-0.0001
N7818d01e014a5ae8,27,0.002
N31cd72f19c97c5ea,3,0.001
N05cf8cda603c732a,23,0.0001
N4b1b13cecb32d238,39,0.002
N057e400a07445a3c,37,-0.001
N68a5022db2e522ff,26,-0.0001
N223ffe3b1e2dbecc,43,-0.0001
N06f264200ad885ac,20,-0.005
N741fdba7d50df688,45,-0.01
N093acbb27885db2b,35,0.0002
N2a4bba03e46d298a,38,-0.0002
N6905614368da9fd7,26,-0.001
N0abf67d24f404db4,17,-0.002
N364ac7ec2ba9ebd9,3,-0.001
N1a11e024f263dffc,9,0
N2dac2a48f2dc6c51,39,-0.0002
N36ea1fe90468e7a1,39,-0.0005
N661afce8226dee3e,44,-0.002
N358efd68c69c0b4b,17,0.001
N0f225c384b6a331c,10,-0.0002
N6a3abfcae302efb7,5,-0.001
N00bd571ac8ed30e0,10,0.01
N69dd504f82da8a13,41,-0.01
N3afb434ae5bb7ad7,7,0.002
N1b3d21a6e9cf0596,1,-0.0005
N35396f70ec5f182d,39,-0.001
N703487042be5513d,39,0.0005
N297f0b8e28fac3dd,13,-0.0001
N30ebb02df29fce42,36,0.0002
N3ca0d76ad7a815d1,15,-0.001
N3e35db912fb88b84,30,-0.001
N3257418fd8748127,36,-0.005
N6c0c87731c824629,32,0
N35f73ba9aaa53514,3,0.0001
N5f4bdc70bd93b107,27,-0.01
N14a04069039df03c,42,0.001
N33343ff5c42e6f08,33,0.0001
N6d66dce53608a009,0,-0.001
N1c3382196769478c,9,-0.0005
N54e25e5bbe017eea,33,-0.01
N19a194e454073a49,36,0.005
N6182d8e948404735,8,-0.0001
N07e05e104448f075,22,0.001
N199a709ae46eed5d,8,-0.001
N183ab337cdec8c40,19,-0.005
N7ee92f456f79ccbc,25,-0.005
N76942831a6db4bca,37,-0.0005
N3850dd3239cf9654,19,0.005
N77ccb38207f08d2f,25,-0.0005
N6783670131f55425,40,-0.0005
N72c10e89d986f5cb,23,0
N2150e25afc0cedfb,4,-0.001
N3c4fcbf6991de1c2,14,0.002
N551268e8b0898a4a,32,-0.0001
N2821b01c8fec23bc,24,-0.0002
N53ba4bf43c541276,26,0.002
N7a1b4aa80f57371b,40,-0.002
N0cca7cdbb4bd155a,14,-0.001
N1924c2b51c83d6b0,23,-0.0005
N23d93840a7d32bd5,18,-0.0001
N45ac0367a3be2a23,18,0.01
N35217e0d09d86653,20,0
N3d4d7bc532009c82,21,-0.005
N4edbfdd271d8b8af,30,-0.01
N77f2a61e748340ca,34,-0.002
N412c91023c9eae30,39,0.001
N6ab59f73ee1befcd,4,-0.0001
N6604f6eab89a6c1f,21,0.002
N3a95a867b590dc87,34,-0.0002
N5de13b9cf13ea933,15,-0.0001
N644bbf1be64dcd5e,29,-0.0002
N7b96ab9b2054ebe0,20,0.002
N5e7ea367cdede9a4,39,-0.01
N6a8d6ca34f55f4f7,24,-0.0001
N0acf18c400008245,14,0.01
N4209f7cacf223df6,42,0
N359b170bae836abf,20,-0.001
N03713422e93443cd,9,-0.01
N6d46ff2ac09c1f39,4,0.0005
N0f1da3cc98a6b1a5,38,-0.01
N5b6aa38016f93cea,31,-0.001
N68c264341c6d8a72,35,-0.002
N20f62f30159de404,16,0
N03a5ee63a8f2f4b6,2,0.005
N6a94dadb23a8ae59,28,0.001
N5b50d9e7380b4c82,17,0.002
N04d84deab8009b6c,37,0.01
N2ff2c25208573926,22,-0.0005
N2dec1d2802f42766,42,0.0005
N1cd0012abee8c4cf,29,0.0002
N77fc20e8367e72ad,21,0.005
N1f99539e83a74dc6,1,-0.0002
N0cb1ce49092abb1f,41,0.0002
N461217e9164901ae,23,-0.01
N1914df86382f4648,3,0.01
N38e3b4b5006504da,37,0
N2979b8e1ded65f85,0,0.002
N1a1a5614334707e3,40,0.0005
N0fc982ad3bc86144,16,0.005
N79ea32b8ad49f131,13,0.01
N50c34b0c3cbdbb1f,2,0.0001
N067ca2cc2f46a432,32,0.0001
N27d7b1a594721915,27,0.01
N4f0fc4fbec1d0775,4,-0.005
N1113f84e53e64a51,40,0
N3d56a011f8a413f7,30,0.001
N38767882a3f2f7cc,23,-0.0002
N0b273f2a883d2e5e,41,0.0001
N1800980337975d32,33,-0.0001
N500613e88a219eb1,18,0.005
N72451abb136f8c14,11,-0.01
N3bed41f34add0587,20,-0.0005
N38ff3c693b470fee,12,0
N5fa6b09813ac2f2d,34,-0.01
N25389476ab4af251,41,-0.0005
N5dcfd65fadc86f23,15,-0.002
N373dbd3e68a17880,26,0.001
N42d5e325b4f653bc,36,0
N1bc1fdb2d0d9c91c,41,-0.002
N6cd3d799fdbbb312,5,0.01
N66bc9929bc089e5d,6,0.0005
N3bacb6ec7c54cbb3,30,-0.005
N540e0349ede65cf6,29,-0.005
N2bf9b0c9d2f4503d,0,0.001
N69c9f1a736a50491,45,0.0005
N0954d2814b71918f,13,0.002
N5ec9d3efcbe548e8,8,-0.005
N07c7570f9707a36a,17,-0.0002
N474a572ecebc38a4,28,0.005
N1c250fd88cf31bfe,40,-0.005
N551b554f3f2e513e,0,-0.002
N5d95f0ad2a6ebe87,8,-0.0002
N2d52d52ee38aad18,17,0.01
N6e17a823e73b8aff,6,0.005
N4b49b3bd9e2bf758,2,0.0005
N5d27731bea585bed,3,0
N0fef5994ba6a3474,33,0.001
N42a35ac5e4de8588,11,-0.005
N1d29e656fe3b6728,32,-0.0002
N23ecbd56f9799e9e,5,0
N355a364b8410201e,27,0.0002
N035867020f1ff4fc,6,0.0002
N11a63b2535cff99e,44,0.005
N4ba58d48a4d8ec69,20,-0.0001
N6efe5232be1ad319,12,-0.0002
N3a1edb982bebefe9,35,-0.0001
N76d6eb8d5433ea63,37,0.002
N6286a17c40a04e07,26,-0.0002
N6a173f766377008d,35,0.01
N1ef3a2eeb29ce723,13,0.0001
N3699ad197242b888,34,0.0001
N46709b8127ab1cb1,8,0.01
N10092ddced238946,22,-0.005
N7bce1e2e9097e2b3,22,0.0002
N74d64feb95d43763,30,-0.0002
N65c95e63bd821a92,24,-0.005
N28465438151316a4,7,0.001
N6d4643810d77fddb,16,-0.002
N7a9213e3385d8db2,38,-0.0005
N33007d5124a42c23,22,0.0001
N49df6e36811d5a90,8,0
N6ffc607926b75019,29,0.0005
N0fbd1120cc801bb4,11,-0.0002
N396281f687098c72,14,-0.0002
N1ee36cac0e097897,11,0.0005
N5fa89fcd17dd9a22,22,0.002
N644fdd159d3fcc9d,14,0
N43b45430e62fa609,0,0.0001
N3a83c5cc52f0d596,38,-0.002
N46bbb81093b45cf4,25,0
N77b01367e05c7583,32,-0.001
N65d07480ef88dc62,35,-0.0005
N7a786cb0fe64f50a,10,0.0002
N59fe51a6954a5d72,44,-0.005
N1bfd7c1bdfa82009,8,0.0002
N79362df63943554d,4,0.001
N4d082198fcb55ca8,38,-0.001
N28969676a4b44262,37,-0.0001
N4237057793350451,37,0.0005
N1f104da915f2c699,35,0.0005
N04e2f9c52a24b4d2,35,0.005
N0c8a666e1705a04b,19,-0.0005
N07a3fa130fce323b,23,0.005
N7d87bbab4948221e,24,0.01
N63d2e34dbb940095,20,0.0002
N1f51d19f0bf8186b,8,-0.002
N37bfc4c3d4481620,23,-0.005
N23ab1280f2b1ecb3,5,0.005
N3fc038cf03444ea9,12,0.0005
N17999433be979249,10,0.002
N4e58519149d2dc0b,2,-0.001
N502f780e0406b587,2,0
N18bc1de256bf6b5d,34,-0.001
N1438af1fc6bd8153,5,-0.0001
N2f46ea5fab21614f,21,0.01
N550ab66bbe3ef32b,7,-0.0005
N66879fa60b0780d9,16,0.002
N3ee7023484690e56,18,0.0002
N5022fe64ead2a982,21,-0.0005
N7b5ea3bd24916926,2,0.002
N452d668facefe7c6,39,0.005
N0b16396ecd09b4cc,6,-0.001
N74b36b4394988130,10,-0.0001
N056735bbc1a125d1,11,-0.0001
N711824783bb2bf2c,21,-0.01
N05ebbb8e5041addd,28,0.0005
N1e28208e638b387e,8,0.005
N0ca6eb41a4908f1e,44,0
N0a2b301b38fdb807,42,-0.005
N6541b3c4ccc49ffe,23,0.01
N07f5e1b2602d7ecc,22,0.0005
N6039615ec6675107,16,-0.0001
N2d5885c4853bffe7,43,-0.002
N28203508615d4ca7,23,0.002
N4c8cbae7a0beb3aa,5,-0.01
N7f0ef2c5074381db,29,-0.01
N789473be43e35c83,14,-0.005
N5ec59de555227ae5,9,0.001
N2e02b897656ecfd2,13,-0.001
N2d3cf3564e0718e8,18,-0.0005
N3e07c4b0543c027c,2,-0.0002
N60e5227ba8f03f76,15,-0.0002
N1ed18f9fe1c5b7ea,14,-0.0005
N4565974daaf44bd7,25,-0.002
N24a208443d71d2cb,35,-0.01
N053dfce910a089d8,12,0.0001
N5861f06d1a1405b4,14,0.005
N32589c1a98903ed5,12,-0.002
N50621ac49b7c02b2,13,0.005
N111f84e36f45da82,21,-0.0002
N4d5800247ae73488,26,-0.005
N0743aeb7649d603b,25,0.0002
N7bc978495f58f63a,37,-0.01
N15836a31dd500363,42,-0.01
N12c0e654e45fb468,39,-0.005
N52479309ede13320,15,0
N176004b7c65cda3f,7,0.0005
N3281051d51941799,45,0.005
N1d86d92aefc5f8c3,33,-0.002
N7c1a3f2bccbf4953,7,0.0002
N5f63ace8d6460230,27,0.005
N64568d2601a4b460,22,-0.0002
N627a829418ab38eb,35,0
N08cfb2f70fabb3c5,42,-0.0005
N704e48f2f668c025,11,0.0001
N2e34c7c16a2486ba,26,0.005
N70f17ad179d11291,30,-0.0001
N22de77278c859fee,9,-0.005
N18563cbb22fd5e61,10,0
N0bcf9d9a39ed5795,0,0.005
N7fe781c422bee9eb,2,0.0002
N4430d4bc344caec3,7,-0.0001
N1a67aea356a6671c,25,0.0001
N731909b534bbe9b1,40,0.01
N750f781435df4d51,32,0.0005
N4cc216fdb96e4b52,40,0.0001
N2e950a3b99ed2294,15,0.0001
N29fff914db1f1a30,31,0.0001
N5bb3054a1bbd067e,40,0.005
N483f9357646c266b,40,0.0002
N726e08919ad2b61c,37,0.0001
N612dc30f29551ea6,8,0.0005
N57218d7f0ea20bf3,20,0.01
N6a2000602711c1bc,38,0
N5a07d39a6e862386,26,-0.002
N2d7913e7de3cee16,3,0.0002
N77f2dafae0a4b2e8,27,0.001
N52a298b16741e054,1,0.005
N2a0de032d1586559,6,0.0001
N5ae46d5b2322f25d,15,0.0005
N3f91f997cf2686bc,24,0.0001
N4e2b0b146b11b9af,43,0.01
N429a3c8957034175,3,-0.01
N35b6f1ffd3606872,11,0.001
N00df6a4347de7fed,4,-0.0002
N2c8315b49f709c9d,44,0.002
N20220d7316677908,10,0.005
N4fa918f781378d73,38,0.0005
N191db9ce1ef1520c,5,0.0001
N08f3335cb452bfd7,14,-0.002
N34214c74494ae92b,35,0.0001
N4da786d8388070b4,36,0.0001
N7d3d5e198baa74d4,26,0.0005
N10b95ad86c9f77d3,37,-0.002
N479dba92593d8946,25,-0.0001
N7b63c8fd20e25302,19,0.0005
N0e8f9640a3fb5aa4,43,0.001
N2c3b175db55aff6d,29,-0.0005
N3e5fbd121a6c8167,38,0.005
N49d482f6c487cb14,25,0.01
N668adbb5f047e48e,42,0.002
N64bea9de91dab77a,31,-0.0002
N0362e658039e7a58,4,0.005
N100bd372f0d71f8e,45,0.01
N33df175b795de5fb,0,-0.0001
N62733519dc5a71ff,25,-0.01
